iter	Passed	Remaining
0	147	146919
1	149	74580
2	151	50418
3	153	38325
4	155	31013
5	157	26146
6	160	22722
7	162	20102
8	164	18073
9	166	16516
10	168	15193
11	170	14071
12	173	13163
13	175	12355
14	177	11658
15	179	11051
16	181	10510
17	183	10022
18	185	9602
19	188	9224
20	190	8870
21	192	8558
22	193	8233
23	195	7959
24	197	7707
25	199	7489
26	201	7277
27	204	7090
28	206	6912
29	208	6738
30	210	6577
31	212	6432
32	214	6299
33	216	6154
34	218	6028
35	220	5907
36	222	5792
37	224	5690
38	226	5592
39	228	5494
40	230	5402
41	233	5315
42	234	5229
43	236	5148
44	239	5073
45	241	4998
46	243	4927
47	245	4861
48	247	4796
49	249	4734
50	251	4676
51	253	4618
52	255	4562
53	257	4508
54	259	4457
55	261	4406
56	263	4359
57	265	4314
58	267	4267
59	269	4221
60	271	4179
61	273	4137
62	274	4082
63	276	4042
64	278	4007
65	280	3970
66	282	3934
67	284	3900
68	286	3867
69	288	3833
70	290	3803
71	292	3772
72	294	3740
73	296	3712
74	298	3684
75	300	3655
76	302	3627
77	304	3601
78	306	3574
79	308	3548
80	310	3526
81	312	3502
82	314	3479
83	317	3458
84	319	3435
85	321	3412
86	323	3392
87	325	3377
88	328	3358
89	330	3339
90	332	3318
91	334	3298
92	336	3279
93	338	3260
94	340	3240
95	342	3221
96	344	3204
97	346	3187
98	348	3169
99	350	3152
100	352	3135
101	354	3118
102	356	3103
103	358	3086
104	360	3070
105	362	3054
106	364	3039
107	366	3023
108	367	3004
109	369	2991
110	371	2977
111	373	2963
112	375	2949
113	377	2935
114	379	2921
115	381	2907
116	383	2894
117	385	2883
118	387	2870
119	389	2858
120	391	2846
121	393	2833
122	395	2822
123	397	2810
124	399	2798
125	401	2785
126	403	2774
127	405	2763
128	407	2751
129	409	2741
130	411	2730
131	413	2718
132	415	2708
133	417	2698
134	419	2687
135	421	2677
136	423	2667
137	425	2657
138	427	2646
139	429	2637
140	431	2627
141	433	2617
142	435	2608
143	436	2594
144	438	2585
145	440	2575
146	442	2567
147	444	2560
148	446	2551
149	448	2543
150	450	2535
151	452	2526
152	454	2518
153	456	2510
154	458	2501
155	461	2494
156	463	2486
157	465	2478
158	467	2470
159	469	2462
160	470	2454
161	472	2445
162	474	2438
163	476	2431
164	478	2423
165	480	2415
166	482	2407
167	484	2400
168	486	2393
169	488	2386
170	490	2379
171	492	2372
172	494	2365
173	496	2354
174	497	2347
175	499	2339
176	501	2333
177	503	2326
178	505	2320
179	508	2314
180	509	2303
181	511	2296
182	512	2290
183	515	2284
184	517	2277
185	518	2271
186	521	2265
187	523	2259
188	525	2253
189	527	2246
190	529	2241
191	531	2235
192	533	2230
193	535	2225
194	538	2221
195	540	2216
196	542	2212
197	544	2206
198	546	2201
199	549	2196
200	551	2190
201	553	2185
202	555	2180
203	557	2175
204	559	2170
205	561	2166
206	564	2160
207	566	2155
208	568	2151
209	570	2145
210	572	2140
211	574	2135
212	576	2131
213	578	2125
214	581	2121
215	583	2117
216	585	2111
217	587	2107
218	589	2102
219	591	2096
220	593	2092
221	595	2087
222	597	2082
223	599	2077
224	602	2074
225	604	2069
226	606	2065
227	607	2058
228	609	2053
229	611	2048
230	614	2044
231	616	2039
232	618	2034
233	620	2031
234	622	2026
235	624	2022
236	627	2018
237	629	2014
238	631	2009
239	633	2005
240	635	2001
241	637	1996
242	639	1993
243	641	1988
244	643	1984
245	646	1980
246	648	1976
247	650	1971
248	652	1967
249	654	1963
250	656	1959
251	658	1954
252	660	1950
253	662	1946
254	664	1942
255	666	1938
256	669	1934
257	671	1931
258	673	1927
259	675	1923
260	678	1920
261	680	1916
262	682	1912
263	685	1910
264	687	1906
265	689	1902
266	691	1899
267	693	1895
268	695	1891
269	697	1887
270	700	1883
271	702	1880
272	704	1876
273	706	1871
274	708	1867
275	710	1863
276	712	1860
277	714	1856
278	716	1852
279	718	1848
280	720	1844
281	722	1840
282	724	1836
283	726	1832
284	728	1828
285	730	1824
286	732	1820
287	734	1815
288	736	1811
289	737	1806
290	739	1802
291	741	1798
292	743	1795
293	745	1791
294	747	1787
295	750	1783
296	752	1780
297	754	1776
298	756	1773
299	758	1769
300	760	1765
301	762	1761
302	764	1758
303	766	1754
304	768	1750
305	770	1747
306	772	1743
307	774	1740
308	776	1736
309	778	1732
310	780	1729
311	782	1725
312	784	1722
313	786	1718
314	788	1714
315	790	1711
316	792	1707
317	794	1703
318	796	1699
319	798	1696
320	800	1693
321	802	1689
322	804	1687
323	807	1683
324	809	1680
325	811	1677
326	813	1673
327	815	1670
328	817	1666
329	819	1663
330	821	1659
331	823	1656
332	825	1652
333	827	1649
334	828	1645
335	830	1642
336	832	1638
337	835	1635
338	837	1632
339	839	1628
340	840	1625
341	842	1621
342	844	1618
343	846	1614
344	848	1611
345	850	1607
346	852	1604
347	854	1601
348	856	1597
349	858	1594
350	860	1590
351	862	1587
352	864	1584
353	866	1581
354	868	1578
355	870	1574
356	872	1571
357	874	1568
358	876	1565
359	878	1561
360	880	1558
361	882	1555
362	884	1551
363	886	1548
364	888	1545
365	890	1542
366	892	1538
367	894	1535
368	896	1532
369	898	1529
370	900	1526
371	902	1522
